#,Do you want to share your pronouns?,What’s your current role at Mews?,How many years of work experience do you have?,Where are you based (location/time zone)?,Returning from maternity/paternity/parental leave,Navigating menopause or andropause,Career break / sabbatical,Relocation to a new country,Career change or industry switch,Managing health challenges (physical or mental),Stepping into leadership for the first time,Promotions,Internal moves,Other (please specify in the next slide),You picked Other - we’d love to hear more. What experience would you add?,Career growth & progression,Leadership & management,Technical / product knowledge,Customer success & client relationships,Communication & soft skills,Cross-functional collaboration,Strategic thinking & vision,Change management / navigating transformation,"Diversity, equity & inclusion",Work–life balance & wellbeing,Other (please specify in the next question),You picked Other - we’d love to hear more. What experience would you add?_1,Have you mentored before?,"🤝 Your mentoring style

Every mentor is unique - this helps us match your style with a mentee who’ll thrive with you.

How would you describe your preferred mentoring style? ",What type of meeting style do you usually prefer?,How would you describe your energy as a mentor? ,What’s your feedback style?,Early-career,Mid-level,Senior stretch role,Are there any topics you would prefer NOT to mentor on? ,How often would you ideally like to meet with a mentee?,"💡 Motivation

What do you hope to gain from being a mentor?","🙌 Expectations

What expectations do you have for the mentorship program? ",Response Type,# Do you want to share your pronouns?
6agfilxrjz1s,,"Director of Ppl Engineering & Reward, People Business Partnering",10+,Central Europe (CET),Returning from maternity/paternity/parental leave,,,,,,Stepping into leadership for the first time,,,,,,,,,,,,,,,Other (please specify in the next question),Personal branding,1,Structured and goal-focused — I prefer to set clear objectives and track progress together.,Goal tracking / accountability check-ins,Structured / Organized,Constructive & actionable,Early-career,Mid-level,Senior stretch role,,Monthly,Continued learning — mentorship reminds me that growth goes both ways.,Opportunities to share experiences not only 1:1 but also in group or community settings.,completed,
y2fimz5i,he/him,"Customer Advisory & Advocacy Senior Manager, Global Integrated Marketing and Strategy",10+,Australia (AEST),Returning from maternity/paternity/parental leave,,Career break / sabbatical,,,,,Promotions,,,,Career growth & progression,,,,Communication & soft skills,,,Change management / navigating transformation,,,,,0,Reflective and questioning — I use Socratic-style questions to help mentees find their own solutions.,Hands-on practice / skill-building,Patient,Balanced (mix of praise & critique),Early-career,Mid-level,Senior stretch role,Niche technical specializations outside my field,Bi-weekly,"Exposure to new ideas, fresh energy, and different perspectives from younger colleagues.","That both mentors and mentees are committed, engaged, and show up consistently.",completed,
oygg3zxka6c1mxb1q5xfoygg,they/them,"Enterprise Customer Success Manager, Client Engagement, D&A",6–10,UK / Ireland (GMT),Returning from maternity/paternity/parental leave,,,Relocation to a new country,,,,,,,,,,,Customer success & client relationships,,,,,"Diversity, equity & inclusion",,,,0,Adaptive — I adjust my approach depending on the mentee’s needs and learning style.,Brainstorming & idea sharing,Reflective,Socratic (asking questions to guide reflection),,,,Company-specific processes outside my experience,Weekly,Personal fulfillment from contributing to someone else’s development.,A balance between guidance from the organizers and freedom for pairs to shape their own journey.,completed,
cpag69v3hhzydlyfs,,Sales Director,10+,US – Central Time (CST),,,,,,Managing health challenges (physical or mental),Stepping into leadership for the first time,Promotions,Internal moves,,,,Leadership & management,,,,,Strategic thinking & vision,,,Work–life balance & wellbeing,,,1,Supportive and motivational — I focus on encouragement and helping mentees feel confident.,Open Q&A / “ask me anything” sessions,Supportive,Encouraging / positive reinforcement,,,,Technical coding or programming — my expertise is more on the business and leadership sid,Bi-weekly,The chance to improve my leadership and coaching skills.,That it contributes to overall career development and growth for both sides.,completed,
izy23j0jb,she/her,Director of Technical Partner Success,6–10,Central Europe (CET),,,,Relocation to a new country,Career change or industry switch,,,,,,,,Leadership & management,Technical / product knowledge,,,Cross-functional collaboration,,,,,,,0,Practical and example-driven — I like giving concrete advice and sharing real-world cases.,Problem-solving together,Challenging,Constructive & actionable,,,,,Bi-weekly,The satisfaction of giving back and helping someone grow in their career.,hat mentees come prepared with topics or challenges they’d like to discuss.,completed,
izy23j0jbzkfk2vy5iz,she/her,Head of Customer Success,6–10,US – Pacific (PST),,,,Relocation to a new country,Career change or industry switch,,,,,,,,Leadership & management,Technical / product knowledge,,,Cross-functional collaboration,,,,,,,0,Practical and example-driven — I like giving concrete advice and sharing real-world cases.,Problem-solving together,Challenging,Constructive & actionable,,,,,Bi-weekly,The satisfaction of giving back and helping someone grow in their development.,hat mentees come prepared with topics or challenges they’d like to discuss.,completed,they/them
6agfilxrjz1s6agfilbmi7b8dlt,,Director of Marketing,6–10,Australia (AEST),Returning from maternity/paternity/parental leave,,,,,,Stepping into leadership for the first time,,,,,,,,,,,,,,,Other (please specify in the next question),Personal branding,1,Structured and goal-focused — I prefer to set clear objectives and track progress together.,Goal tracking / accountability check-ins,Structured / Organized,Constructive & actionable,Early-development,Mid-level,Senior stretch role,,Monthly,Continued learning — advisorship reminds me that growth goes both ways.,Opportunities to share experiences not only 1:1 but also in group or community settings.,completed,they/them
izy23j0,she/her,Talent Development Manager,10+,UK / Ireland (GMT),,,,Relocation to a new country,Career change or industry switch,,,,,,,,Leadership & management,Technical / product knowledge,,,Cross-functional collaboration,,,,,,,0,Practical and example-driven — I like giving concrete advice and sharing real-world cases.,Problem-solving together,Challenging,Constructive & actionable,,,,,Bi-weekly,The satisfaction of giving back and helping someone grow in their development.,hat mentees come prepared with topics or challenges they’d like to discuss.,completed,they/them
6agfilxrjz1s6agfilbm,,Product Lead,6–10,UK / Ireland (GMT),Returning from maternity/paternity/parental leave,,,,,,Stepping into leadership for the first time,,,,,,,,,,,,,,,Other (please specify in the next question),Personal branding,1,Structured and goal-focused — I prefer to set clear objectives and track progress together.,Goal tracking / accountability check-ins,Structured / Organized,Constructive & actionable,Early-growth path,Mid-level,Senior stretch role,,Monthly,Continued learning — guideship reminds me that growth goes both ways.,Opportunities to share experiences not only 1:1 but also in group or community settings.,completed,she/her
izy23j0jbzkfk2vy5izy,she/her,Product Lead,6–10,Australia (AEST),,,,Relocation to a new country,Career change or industry switch,,,,,,,,Leadership & management,Technical / product knowledge,,,Cross-functional collaboration,,,,,,,0,Practical and example-driven — I like giving concrete advice and sharing real-world cases.,Problem-solving together,Challenging,Constructive & actionable,,,,,Bi-weekly,The satisfaction of giving back and helping someone grow in their development.,hat mentees come prepared with topics or challenges they’d like to discuss.,completed,they/them
